,brand,model,model_target_ratings
996,ranbem/瑞本,768B,"{'功能': {'早餐': 49.03, '果汁': 72.78, '水果': 62.41, '田七': 0.0, '破壁': 48.29, '米糊': 80.46, '绞肉': 57.79, '苹果': 58.25, '豆子': 35.06, '豆汁': 42.8, '豆浆': 88.28, '豆渣': 64.31, '转速': 74.11, '功能性': 51.71, '功能键': 42.33, '指示灯': 11.88, '榨汁机': 63.0, '水果汁': 52.93, '绿豆沙': 28.94, '蔬果汁': 31.96, '西红柿': 49.57, '黑豆浆': 6.59, '黑芝麻糊': 23.25}, '服务': {'亲们': 52.56, '包装': 80.41, '卖家': 68.32, '好评': 51.17, '客户': 78.63, '客服': 79.69, '店家': 67.56, '态度': 83.12, '链接': 31.47, '外包装': 56.0, '实体店': 57.6, '说明书': 61.15, '服务态度': 85.97}, '款式': {'塑料': 46.48, '手感': 66.62, '按键': 44.3, '机身': 70.13, '款式': 58.38, '神器': 54.76, '红色': 46.44, '颜色': 74.7, '厚重感': 11.71, '很漂亮': 77.95, '显示灯': 0.0, '外观设计': 57.96}, '质量': {'刀头': 63.86, '噪音': 79.87, '声响': 53.29, '声音': 86.99, '实物': 60.73, '工艺': 58.92, '底座': 62.17, '性能': 63.5, '挺好': 75.19, '物件': 51.98, '物美': 51.17, '玻璃': 79.68, '用料': 75.56, '质量': 86.26, '实用性': 64.33, '密闭性': 48.1, '玻璃缸': 26.57, '都来买': 0.0, '安全措施': 20.78}}"
997,ranbem/瑞本,775,"{'功能': {'功率': 56.96, '小米': 47.07, '效率': 43.41, '早餐': 61.68, '机型': 44.69, '果汁': 84.28, '果蔬': 49.4, '核桃': 35.13, '榨汁': 65.62, '水果': 76.16, '煮得': 31.0, '米糊': 80.85, '粉末': 50.66, '红豆': 45.9, '绞肉': 58.36, '豆浆': 92.1, '辅食': 64.43, '鱼汤': 52.28, '鸡汤': 26.25, '八宝粥': 22.95, '很给力': 55.04, '榨汁机': 63.53, '芒果汁': 46.84, '花生酱': 26.86, '苹果汁': 69.2, '营养粥': 18.04, '豆浆渣': 57.84, '黑豆浆': 48.24}, '服务': {'买家': 58.47, '亲们': 53.61, '包装': 88.1, '包裹': 60.93, '卖家': 73.13, '好评': 77.66, '客户': 60.73, '客服': 86.25, '店主': 57.8, '店家': 56.54, '态度': 84.55, '淘宝': 59.21, '赠品': 60.11, '包装箱': 54.4, '说明书': 61.7, '产品包装': 51.84, '售后服务': 74.46, '客户服务': 39.04, '服务态度': 86.32}, '款式': {'外型': 57.23, '外形': 78.99, '外表': 66.03, '大小': 76.1, '手感': 75.67, '按键': 57.46, '机身': 48.26, '样式': 68.41, '款式': 70.38, '界面': 11.84, '红色': 66.05, '金色': 43.95, '颜色': 86.17, '外观上': 39.75, '外观美': 52.77, '很漂亮': 84.57, '外观设计': 58.84, '美观大方': 51.66}, '质量': {'刀头': 64.41, '商品': 62.33, '噪声': 72.19, '噪音': 85.43, '声响': 57.44, '声音': 90.29, '实物': 78.34, '工艺': 71.37, '很沉': 58.38, '挺好': 72.65, '玻璃': 81.29, '盖子': 0.0, '胡底': 0.0, '质量': 88.08, '电源线': 52.28}}"
998,ranbem/瑞本,RBM-728,"{'功能': {'破壁': 49.23, '豆浆': 66.62}, '服务': {'包装': 66.32, '包裹': 61.77, '保修卡': 54.58, '服务态度': 66.48}, '款式': {'外表': 53.13, '颜色': 62.48, '外观设计': 59.71}, '质量': {'声音': 77.29, '质量': 66.27}}"
999,ranbem/瑞本,RBM-768B,"{'功能': {'效率': 43.91, '智能': 47.4, '米糊': 75.23, '豆浆': 79.64, '榨汁机': 64.05, '水果汁': 53.87, '鲫鱼汤': 28.72}, '服务': {'包装': 66.51, '卖家': 57.22, '客服': 65.6, '态度': 68.53, '箱子': 0.0, '说明书': 72.3, '服务态度': 72.95}, '款式': {'按键': 57.98, '高大尚': 41.48}, '质量': {'噪音': 44.04, '声音': 83.17, '玻璃': 70.59, '质量': 74.75, '安全性': 53.1}}"
1000,ranbem/瑞本,RBM-775,"{'功能': {'两用': 36.34, '冰糖': 53.66, '功率': 57.37, '大米': 54.72, '小米': 38.38, '早餐': 49.86, '果汁': 85.32, '核桃': 36.05, '榨汁': 66.02, '橙汁': 69.65, '水果': 62.91, '渣渣': 33.45, '玉米': 31.21, '用途': 58.54, '米粒': 34.55, '米糊': 79.3, '蔬果': 34.03, '薏米': 8.85, '豆子': 68.35, '豆浆': 94.64, '豆渣': 38.05, '转速': 83.0, '辅食': 64.96, '食物': 54.98, '鱼汤': 63.34, '鸡蛋': 47.81, '味道香': 23.51, '很给力': 73.22, '果蔬汁': 46.22, '核桃粥': 0.0, '榨汁机': 75.2, '芒果汁': 48.47, '苹果汁': 63.52, '蔬果汁': 35.27, '蔬菜汁': 52.55, '西瓜汁': 57.09, '速度快': 67.84, '黑芝麻': 58.61}, '服务': {'亲们': 54.63, '包装': 89.75, '卖家': 80.96, '好评': 73.44, '客户': 61.67, '客服': 87.9, '店家': 73.53, '态度': 85.48, '果泥': 65.24, '说明书': 62.24, '客户服务': 45.71, '有问必答': 74.28, '服务到位': 32.46, '服务态度': 87.03}, '款式': {'分量': 53.52, '土豪': 26.0, '外型': 58.15, '外形': 79.47, '外表': 54.05, '大小': 84.74, '手感': 70.23, '按键': 66.57, '样式': 74.13, '档位': 48.92, '款式': 79.62, '红色': 59.96, '视觉': 0.0, '金色': 53.04, '颜值': 75.21, '颜色': 91.72, '很漂亮': 83.09, '触摸屏': 26.59, '设计师': 26.0, '外观设计': 80.26, '第一印象': 43.41, '美观大方': 67.39}, '质量': {'商品': 62.93, '噪声': 46.63, '噪音': 86.45, '声音': 92.59, '外壳': 47.61, '实物': 78.85, '小块': 52.39, '工艺': 59.96, '底座': 70.64, '很沉': 63.21, '很稳': 52.42, '性能': 64.08, '挺好': 82.17, '滑润': 0.0, '燥音': 58.28, '物美': 52.77, '环保': 54.75, '玻璃': 83.81, '用料': 64.48, '质量': 90.22, '面板': 28.1, '黄豆': 42.36, '实用性': 74.04, '灵敏度': 0.0}}"
1001,royalstar/荣事达, RS-JR20E,"{'功能': {'虾皮': 42.89, '辅食': 53.44}, '款式': {'分量': 41.44, '颜值': 66.76}, '质量': {'噪音': 69.54, '挺好': 56.68}}"
1002,royalstar/荣事达, RZ-1018C1,"{'服务': {'卖家': 28.74, '态度': 54.15}, '款式': {}, '质量': {'声音': 45.73, '小块': 60.08, '质量': 51.81, '实用性': 64.87}}"
1003,royalstar/荣事达, RZ-8001,"{'功能': {'功率': 92.08, '南瓜': 48.32, '山药': 27.74, '打蛋': 51.31, '搅碎': 46.94, '木瓜': 47.89, '果汁': 80.86, '果肉': 66.46, '果酱': 42.84, '核桃': 37.93, '梨汁': 51.24, '棒子': 0.0, '榨汁': 73.46, '用途': 45.39, '碎肉': 47.72, '米糊': 77.43, '绞肉': 86.19, '肉松': 54.57, '肉馅': 73.21, '芝麻': 55.96, '苹果': 67.29, '草莓': 50.12, '菜泥': 50.3, '虾皮': 45.53, '虾肉': 42.11, '蛋清': 7.05, '蛋糕': 51.69, '设备': 22.3, '豆汁': 25.99, '豆沙': 36.56, '豆渣': 50.49, '转数': 44.47, '转速': 74.47, '辅食': 80.93, '雪梨': 34.32, '食材': 49.56, '食物': 64.86, '土豆泥': 49.35, '打蛋器': 34.97, '打鸡蛋': 25.53, '榨汁机': 75.62, '粉碎机': 39.33, '绞肉机': 38.38, '花生酱': 38.88, '苹果汁': 74.22, '苹果泥': 68.69, '蔬菜汁': 53.45, '蔬菜泥': 55.11, '西兰花': 51.87, '西红柿': 21.87, '速度快': 57.46, '香蕉泥': 49.44, '木瓜牛奶': 23.03}, '服务': {'买家': 59.29, '信誉': 38.91, '包装': 89.07, '卖家': 81.21, '好评': 74.3, '客服': 86.47, '差评': 0.0, '店主': 58.66, '店家': 82.53, '态度': 89.49, '果果': 0.0, '果泥': 77.7, '盒子': 0.0, '联保': 56.14, '包得很': 8.77, '外包装': 63.0, '掌柜的': 52.85, '诚信度': 35.9, '售后服务': 78.68, '处理速度': 26.86, '服务态度': 93.3}, '款式': {'分量': 45.76, '塑料': 66.16, '手感': 82.41, '按键': 44.98, '机身': 31.66, '款式': 70.78, '磨砂': 11.71, '神器': 57.16, '颜值': 80.24, '颜色': 82.18}, '质量': {'不值': 20.09, '主体': 0.0, '刀头': 82.01, '商品': 73.01, '噪声': 75.52, '噪音': 85.63, '声音': 81.83, '实物': 62.51, '工艺': 35.12, '开关': 67.5, '很沉': 49.57, '技巧': 0.0, '挺好': 86.49, '瑕疵': 59.85, '碎成': 0.0, '穿着': 26.57, '粗细': 54.08, '质量': 92.03, '间隙': 48.08, '不锈钢': 59.96, '塑料味': 0.0, '塑料杯': 53.38, '实用性': 65.95, '朋友们': 59.3, '马力好': 23.1, '边边角角': 0.0}}"
1004,severin,SM3710,"{'质量': {'噪音': 53.45, '玻璃': 58.54, '质量': 52.05}}"
1005,royalstar/荣事达, RZ-283,"{'功能': {'便携': 48.24, '功率': 69.29, '效率': 28.46, '旋钮': 0.0, '果汁': 84.54, '核桃': 36.98, '榨汁': 80.95, '水果': 63.4, '米粉': 51.83, '芝麻': 41.56, '豆浆': 82.46, '功能性': 52.76, '很给力': 79.34, '果汁机': 53.2, '菠萝汁': 44.87, '辣椒面': 49.85, '速度快': 28.35, '一举多得': 26.17, '功能丰富': 22.74, '胡萝卜汁': 42.65}, '服务': {'包装': 96.17, '包裹': 62.59, '卖家': 80.01, '实体': 0.0, '客服': 78.79, '店家': 79.31, '态度': 84.01, '联保': 49.0, '赠品': 37.36, '外包装': 56.49, '实体店': 58.43, '说明书': 72.8, '服务态度': 93.96, '服务满意': 12.57}, '款式': {'外型': 74.18, '外形': 79.96, '外表': 55.84, '够大': 48.85, '样式': 69.24, '款式': 90.64, '神器': 55.98, '颜色': 87.58, '容量大': 50.49, '很漂亮': 85.61, '外观设计': 77.42, '美观大方': 52.89}, '质量': {'刀头': 64.96, '商品': 36.69, '噪声': 32.14, '噪音': 28.8, '声音': 40.45, '实物': 72.49, '工艺': 61.0, '底座': 62.8, '性能': 75.12, '挺好': 81.09, '挺棒': 44.82, '杂音': 44.23, '烤漆': 23.1, '环保': 67.01, '用料': 76.36, '质量': 97.08, '买得值': 0.0, '实用性': 77.72, '耗电量': 26.57}}"
1006,royalstar/荣事达, RZ-378H,"{'功能': {}, '服务': {'包装': 54.01}, '款式': {'旧款': 37.55}, '质量': {'质量': 62.75}}"
1007,royalstar/荣事达, RZ-505,"{'功能': {'功率': 36.34, '果汁': 56.58, '绞肉': 59.48, '虾皮': 44.19, '辅食': 54.82, '打蛋器': 31.46}, '服务': {'包装': 75.54, '客服': 65.82, '店家': 73.85, '态度': 76.34, '售后服务': 58.23, '服务态度': 70.12}, '款式': {'塑料': 65.52, '手感': 67.15, '颜值': 67.2}, '质量': {'刀头': 65.49, '噪音': 52.86, '声音': 82.81, '挺好': 72.89, '质量': 71.71, '实用性': 65.41}}"
1008,royalstar/荣事达, RZ-708H,"{'功能': {'手工': 35.24, '水果': 63.89, '绞肉': 60.03, '蒜蓉': 52.5, '豆浆': 66.97, '饮料': 34.32, '很给力': 55.7}, '服务': {'包装': 81.44, '发票': 66.06, '客服': 53.34, '店家': 67.91, '态度': 54.44, '保修卡': 57.39, '服务态度': 66.69}, '款式': {'款式': 58.91, '颜色': 63.41}, '质量': {'刀头': 81.48, '噪音': 38.02, '声音': 77.67, '挺好': 33.66, '糊味': 0.0, '质量': 81.35}}"
1009,royalstar/荣事达, RZ-8012,"{'功能': {'功率': 57.77, '水果': 39.03, '用具': 31.14, '绞肉': 60.58, '香蕉': 53.54, '打蛋器': 54.45, '速度快': 31.67, '饺子馅': 53.85}, '服务': {'包装': 76.17, '卖家': 57.54, '客服': 70.49, '态度': 76.52, '盒子': 0.0, '售后服务': 58.82, '服务态度': 57.33}, '款式': {'颜值': 29.93}, '质量': {'噪声': 47.42, '噪音': 53.15, '声音': 57.25, '挺好': 29.14, '质量': 66.43, '实用性': 38.02}}"
1010,savtm/狮威特,BR11A,
1011,severin,SM3739,"{'功能': {'功率': 58.17, '水果': 45.66, '火龙果': 51.72}, '服务': {'包装': 54.54, '客服': 54.26, '服务态度': 57.59}, '质量': {'噪声': 67.12, '声音': 75.38, '玻璃': 59.68, '质量': 52.29}}"
1012,shield king/盾皇,DK-777,
1013,skg,1260C,"{'功能': {}, '服务': {'包装': 55.06, '态度': 54.74}}"
1014,skg,1290,"{'功能': {'核桃': 38.89}, '服务': {'店家': 68.26, '态度': 55.03, '服务态度': 58.11}, '质量': {'声音': 65.69}}"
1015,stelang/雪特朗,ST-301A,"{'功能': {'很给力': 56.36}, '服务': {'包装': 66.89, '客服': 66.04}, '质量': {'质量': 69.67}}"
1016,supor/苏泊尔,BV501-300,
1017,supor/苏泊尔,JP06D-1300,
1018,supor/苏泊尔,JG32D-300,"{'功能': {'梨汁': 52.13, '糖粉': 42.33, '绞肉': 41.15}, '服务': {'包装': 72.94, '卖家': 57.87, '客服': 66.27, '态度': 55.32}, '款式': {'颜值': 67.63}, '质量': {'噪音': 61.01, '声音': 72.32, '开关': 47.37, '档次': 52.39, '质量': 74.88, '塑料味': 0.0}}"
1019,supor/苏泊尔,JP08P,{'质量': {'声音': 65.85}}
1020,supor/苏泊尔,JM10-150,"{'服务': {'包装': 55.31}, '款式': {}, '质量': {'质量': 53.0}}"
1021,supor/苏泊尔,JP05D-1300,"{'功能': {'功率': 58.56, '豆浆': 70.67}, '服务': {'包装': 67.08, '服务态度': 58.37}, '质量': {'噪音': 53.74, '声音': 79.77, '质量': 53.23}}"
1022,supor/苏泊尔,JP08P-1300,"{'功能': {'出汁': 51.95, '功率': 75.86, '早餐': 50.68, '果汁': 32.51, '米糊': 56.49, '绞肉': 61.64, '豆浆': 84.76, '转速': 59.27, '很给力': 57.0}, '服务': {'包装': 75.7, '卖家': 58.19, '客服': 74.2, '店家': 57.87, '态度': 64.88, '赠品': 60.6, '实体店': 59.25, '服务态度': 75.45}, '款式': {'体积': 60.35, '样式': 57.25, '款式': 71.19, '颜值': 68.06, '颜色': 64.31, '产品设计': 53.72}, '质量': {'噪音': 69.73, '声音': 86.59, '挺好': 35.05, '燥音': 59.29, '质量': 79.76}}"
1023,supor/苏泊尔,JP12D-800,"{'功能': {'米糊': 57.01, '豆浆': 71.0, '玉米糊': 26.74}, '服务': {'包装': 55.57, '卖家': 58.5, '实体店': 69.77}, '质量': {'声音': 77.79, '挺好': 57.02, '质量': 66.59}}"
1024,supor/苏泊尔,JP13D-800,"{'功能': {'果汁': 57.32, '热饮': 17.81, '米糊': 71.5, '豆浆': 76.2, '速度快': 58.1}, '服务': {'亲们': 55.63, '包装': 67.27, '卖家': 58.82, '果泥': 54.45, '实体店': 60.06}, '质量': {'噪音': 69.93, '声音': 82.93, '质量': 75.02, '实用性': 66.47}}"
1025,supor/苏泊尔,JP23D-1100,"{'功能': {'功率': 59.34, '果汁': 58.04, '米糊': 57.53, '鱼汤': 53.62}, '服务': {'包装': 67.46, '客服': 72.67, '态度': 65.1, '赠品': 61.1, '服务态度': 58.63}, '款式': {'颜色': 64.76}, '质量': {'假货': 0.0, '噪音': 77.66, '声音': 46.04, '挺好': 57.36, '质量': 62.92}}"
1026,supor/苏泊尔,JP37V-1300,"{'功能': {'果汁': 58.4, '米糊': 58.04, '豆浆': 55.46}, '服务': {'包装': 55.82}, '款式': {'塑料': 61.46, '外形': 58.9, '款式': 59.94, '颜色': 65.2}, '质量': {'噪声': 67.59, '声音': 75.51}}"
1027,supor/苏泊尔,JS36D-300,"{'功能': {}, '服务': {'包装': 56.57, '服务态度': 37.88}, '款式': {'颜色': 65.64}, '质量': {'声音': 66.32, '质量': 53.46}}"
1028,supor/苏泊尔,JS39D-250,"{'功能': {'人性': 0.0, '冰糖': 30.17, '出汁': 68.93, '功率': 73.51, '手机': 55.9, '机型': 21.74, '果汁': 95.41, '果蔬': 68.56, '枣泥': 44.25, '核桃': 39.88, '梨汁': 67.58, '榨汁': 82.74, '水果': 82.25, '渣渣': 59.66, '用途': 71.44, '米粉': 62.73, '米糊': 69.96, '粗粮': 42.11, '纤维': 70.48, '绞肉': 42.13, '肉松': 55.71, '肉糜': 35.54, '肉质': 38.43, '肉馅': 54.25, '芝麻': 42.1, '苹果': 28.46, '菜叶': 0.0, '蔬菜': 52.86, '虾皮': 46.91, '豆子': 55.12, '豆浆': 80.77, '豆渣': 57.54, '转速': 90.53, '辅食': 77.31, '食物': 65.41, '饮料': 43.41, '饺子': 56.44, '香蕉': 54.18, '鲜甜': 48.18, '鸡肉': 0.0, '功能性': 53.84, '很给力': 57.63, '果汁机': 54.16, '榨汁机': 86.53, '纯果汁': 22.59, '绞肉机': 40.24, '胡萝卜': 53.91, '花生酱': 43.52, '苹果汁': 64.18, '苹果泥': 49.96, '蔬菜汁': 68.14, '西瓜汁': 57.86, '豆腐脑': 11.96, '过滤网': 62.12, '速度快': 58.72, '黑芝麻': 37.7, '机器运行': 47.59}, '服务': {'包装': 94.62, '卖家': 79.3, '好评': 80.16, '客户': 62.6, '客服': 90.17, '差评': 0.0, '店主': 59.5, '店家': 92.0, '态度': 93.52, '果泥': 85.88, '淘宝': 60.14, '盒子': 0.0, '素质': 0.0, '纸箱': 0.0, '赠品': 61.59, '包装盒': 0.0, '外包装': 64.01, '实体店': 60.85, '说明书': 73.31, '责任心': 9.39, '售后服务': 74.95, '服务态度': 92.7}, '款式': {'体积': 81.54, '印象': 44.79, '塑料': 66.83, '外形': 81.47, '外表': 56.7, '大小': 80.73, '尺寸': 67.09, '手感': 73.21, '机身': 53.0, '样式': 74.95, '款式': 82.36, '粉色': 57.98, '颜值': 89.4, '颜色': 90.78, '黑色': 22.45, '很漂亮': 92.91, '粉红色': 8.94}, '质量': {'刀头': 87.3, '吸盘': 56.78, '商品': 79.15, '噪声': 76.03, '噪音': 84.27, '块状': 26.45, '声音': 94.04, '实物': 72.98, '巴适': 0.0, '底座': 42.65, '很稳': 66.38, '性能': 92.48, '挺好': 90.46, '料子': 6.89, '杂音': 45.29, '气味': 53.79, '滤网': 53.32, '物美': 54.3, '电钻': 27.99, '糊味': 0.0, '罐子': 58.59, '语法': 40.21, '质量': 93.8, '三文鱼': 0.0, '塑料味': 0.0, '实用性': 39.4, '密封圈': 0.0, '有裂痕': 0.0, '朋友们': 61.37, '真材实料': 39.98}}"
1029,supor/苏泊尔,SJ609B-300,"{'功能': {}, '服务': {'包装': 70.72, '发票': 60.66, '服务态度': 70.5}, '款式': {'很漂亮': 73.67}, '质量': {'噪音': 44.47, '声音': 72.59, '罐子': 65.26, '质量': 69.82}}"
1030,supor/苏泊尔,TJE08A-250,"{'功能': {'南瓜': 49.27, '智能': 21.76, '果汁': 85.59, '果肉': 37.6, '榨汁': 85.54, '水果': 76.63, '渣渣': 38.53, '纤维': 62.92, '苹果': 58.85, '西瓜': 47.24, '转速': 60.18, '辅食': 55.49, '青瓜': 26.25, '香蕉': 54.84, '很给力': 58.25, '果汁机': 72.11, '榨汁机': 87.68, '草莓汁': 47.73, '蔬果汁': 38.73, '西瓜汁': 71.05, '西红柿': 25.57, '黄瓜汁': 50.85, '电源开关': 0.0}, '服务': {'五星': 52.39, '包装': 88.26, '卖家': 59.13, '好评': 73.87, '客服': 75.69, '态度': 73.24, '果泥': 55.1, '赠品': 62.07, '售后服务': 59.4, '服务态度': 82.79}, '款式': {'体积': 36.88, '品相': 20.05, '外形': 60.18, '手感': 67.67, '机身': 72.4, '款式': 71.6, '红色': 67.98, '颜值': 45.9, '颜色': 82.51, '大红色': 9.21, '很漂亮': 63.32}, '质量': {'刀头': 66.03, '商品': 34.89, '噪声': 76.54, '噪音': 84.65, '声音': 89.31, '底座': 71.25, '强度': 42.43, '挺好': 85.06, '质量': 89.33, '密封圈': 0.0, '粗纤维': 12.16, '蛋白质': 0.0, '使用寿命': 62.67, '科学合理': 0.0}}"
1031,teables/泰博斯,SY-1,"{'功能': {'绞肉': 62.17}, '服务': {'包装': 56.82, '好评': 51.89, '差评': 0.0, '态度': 55.88, '服务态度': 70.7}, '款式': {'款式': 60.45}, '质量': {'声音': 52.59, '挺好': 58.03}}"
1032,tescom,TMV1500,"{'功能': {'效率': 56.13, '果汁': 84.79, '果肉': 57.87, '榨汁': 56.18, '橙汁': 54.06, '水果': 40.13, '渣渣': 54.39, '真空': 26.32, '苹果': 59.45, '豆浆': 55.91, '豆渣': 39.57, '转速': 60.62, '果蔬汁': 68.29, '榨汁机': 64.57, '水果汁': 55.67, '蔬菜汁': 62.92, '木瓜牛奶': 31.36}, '服务': {'包装': 79.23, '卖家': 59.44, '客服': 75.88, '态度': 74.9, '赠品': 62.55, '真空杯': 0.0, '说明书': 62.78, '服务态度': 73.13}, '款式': {'颜值': 68.49}, '质量': {'商品': 64.09, '噪音': 82.11, '声音': 86.19, '挺好': 68.97, '盖子': 0.0, '质量': 71.99, '转换器': 12.28}}"
1033,wik/伟嘉,电动迷你搅拌机,
1034,tescom,TMV1550,"{'功能': {'果汁': 58.75}, '服务': {'包装': 57.06, '客服': 54.86}, '质量': {'声音': 66.48}}"
1035,topkitch,MS-1,
1036,toplife/好生活,TL-7233DP,"{'功能': {'用途': 59.15, '米糊': 59.04, '豆浆': 71.95}, '服务': {'卖家': 59.75, '客服': 66.71, '态度': 56.17, '说明书': 63.31, '服务态度': 58.88}, '款式': {'机身': 48.83}, '质量': {'声音': 79.89, '质量': 73.39}}"
1037,toplife/好生活,TL-783B,"{'功能': {'出汁': 53.56, '功率': 83.62, '南瓜': 50.22, '土豆': 52.09, '太笨': 0.0, '早餐': 51.51, '早饭': 17.89, '果汁': 90.35, '果皮': 0.0, '枸杞': 0.0, '核桃': 62.58, '梨汁': 53.01, '榨汁': 73.8, '水果': 64.86, '玉米': 39.54, '用途': 46.3, '程序': 40.65, '简介': 42.33, '米粉': 52.75, '米糊': 90.65, '米胡': 0.0, '芹菜': 42.03, '苹果': 67.84, '蔬果': 62.59, '蔬菜': 53.68, '豆子': 56.15, '豆浆': 91.59, '豆渣': 52.07, '转速': 84.59, '辅食': 35.34, '食材': 37.59, '食物': 70.76, '香蕉': 33.25, '鱼汤': 71.83, '鲜甜': 28.18, '榨汁机': 65.09, '水果汁': 56.55, '草莓汁': 51.9, '黑芝麻': 38.98, '黑豆浆': 14.92, '五谷杂粮': 43.93}, '服务': {'京东': 57.2, '包装': 95.51, '卖家': 83.81, '好评': 75.99, '客服': 87.41, '店家': 82.93, '态度': 89.01, '赠品': 85.92, '外包装': 57.0, '实体店': 61.63, '说明书': 78.37, '产品包装': 62.62, '售后服务': 71.12, '有问必答': 76.43, '服务态度': 91.88, '纸盒包装': 26.86}, '款式': {'体积': 61.27, '分量': 54.26, '印象': 51.46, '品相': 42.27, '外型': 71.01, '外形': 83.66, '外表': 75.07, '屏幕': 11.68, '按键': 67.61, '机身': 53.48, '样式': 80.45, '款式': 85.15, '紫色': 54.27, '色彩': 45.17, '颜值': 80.59, '颜色': 92.23, '很漂亮': 83.58, '显示屏': 18.18, '外观设计': 67.75}, '质量': {'刀头': 32.51, '商品': 73.49, '噪声': 77.08, '噪音': 88.03, '声音': 92.37, '外壳': 51.55, '实物': 63.09, '岁数': 40.33, '底座': 79.54, '底盘': 24.88, '性能': 75.63, '成品': 70.77, '挺好': 78.94, '标识': 26.57, '档次': 44.7, '棉柔': 0.0, '烤漆': 35.6, '环保': 56.55, '玻璃': 76.48, '质量': 91.5, '黏稠': 26.57, '实用性': 67.0, '朋友们': 51.28, '清洗液': 48.37, '持续时间': 22.99, '真材实料': 48.31}}"
1038,ukoeo,PR6,"{'功能': {'功率': 79.46, '果汁': 67.9, '榨汁': 56.68, '米糊': 59.53, '糖粉': 45.6, '豆浆': 85.06, '食材': 50.45, '鱼汤': 54.92, '亚麻籽': 19.81, '冰激凌': 26.17, '椰子汁': 26.25, '红枣茶': 0.0, '花生奶': 22.74, '苹果泥': 51.08, '五谷杂粮': 47.73}, '服务': {'包装': 79.97, '口碑': 61.04, '客服': 66.92, '态度': 65.32, '箱子': 0.0, '服务态度': 59.13}, '款式': {'手感': 54.44, '机身': 53.95, '颜值': 75.58, '颜色': 66.07, '大红色': 31.43, '很漂亮': 63.93, '显示屏': 27.27}, '质量': {'噪音': 54.31, '声音': 80.62, '成品': 62.03, '挺好': 69.23, '火力': 31.55, '玻璃': 77.28, '碎成': 0.0, '触感': 35.6, '质量': 79.38, '香糯': 26.57}}"
